ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,
time,14:12:44,14:12:48,14:12:53,14:12:58,14:13:02,14:13:06,14:13:13,14:13:17,14:13:22,
577,6796.2,11756.5,5.3,12598.4,13343.4,6198.4,18665.1,9145.7,4479.2,
578,8079.9,11371.7,13.6,13690.9,13304.4,6700.8,19578.3,9564.1,4645.7,
579,9360.4,10976.0,20.8,14781.3,13247.8,7207.1,20475.8,9977.7,4819.3,
580,10618.5,10502.7,19.6,15857.3,13065.3,7741.1,21261.1,10356.9,5043.2,
581,11876.7,10029.3,18.4,16933.3,12882.9,8275.1,22046.3,10736.1,5267.2,
582,13097.6,9578.5,-1.5,17985.3,12729.7,8765.8,22874.7,11122.4,5453.6,
583,14314.1,9130.4,-23.5,19034.5,12580.1,9251.3,23708.2,11509.5,5635.5,
584,15462.2,8699.6,-20.6,19978.5,12411.5,9686.0,24399.8,11903.8,5775.1,
585,16576.6,8277.3,-5.4,20870.9,12233.6,10095.8,25021.7,12301.6,5893.9,
586,17622.7,7861.4,11.6,21695.6,12070.7,10508.6,25638.9,12614.2,6033.7,
587,18586.2,7453.3,30.8,22438.8,11925.9,10925.1,26250.5,12824.0,6198.8,
588,19490.8,7046.9,35.3,23119.0,11750.0,11270.5,26758.1,13019.8,6336.2,
589,20210.5,6645.5,-6.0,23601.8,11476.5,11393.1,26939.5,13171.4,6386.6,
590,20926.5,6245.8,-45.0,24082.6,11204.3,11520.5,27126.0,13321.7,6436.3,
591,21545.2,5893.2,-21.5,24512.7,10968.0,11773.8,27451.5,13439.3,6467.3,
592,22163.9,5540.6,2.1,24942.7,10731.7,12027.2,27777.0,13556.9,6498.3,
593,22673.8,5164.2,-5.4,25216.2,10472.3,12235.8,27874.1,13575.1,6535.9,
594,23162.5,4783.2,-19.0,25459.2,10208.4,12435.7,27926.6,13573.8,6574.7,
595,23537.5,4416.4,-29.5,25680.6,9957.4,12523.7,27986.5,13575.7,6584.6,
596,23849.1,4057.5,-38.4,25890.1,9713.5,12549.5,28050.6,13579.5,6578.3,
597,24252.3,3724.8,-49.8,26143.8,9499.7,12625.4,28128.7,13615.9,6599.3,
598,24765.2,3423.5,-64.3,26450.4,9322.1,12761.4,28223.8,13691.3,6652.7,
599,25198.7,3123.4,-64.1,26695.5,9123.1,12885.4,28277.3,13739.1,6695.6,
600,25420.3,2826.1,-24.4,26776.3,8866.9,12977.2,28219.7,13713.1,6710.2,
601,25644.7,2535.3,10.5,26862.0,8616.6,13063.7,28173.9,13691.6,6720.4,
602,25895.5,2306.0,1.0,26993.5,8422.3,13100.9,28238.8,13712.2,6688.5,
603,26146.3,2076.8,-8.4,27124.9,8227.9,13138.1,28303.8,13732.7,6656.6,
604,26369.6,1861.2,17.1,27248.4,8104.9,13217.1,28333.6,13733.7,6625.4,
605,26590.6,1646.8,45.3,27371.3,7987.6,13299.4,28360.6,13733.2,6594.2,
606,26688.9,1447.4,23.2,27376.9,7803.9,13352.2,28243.9,13704.5,6567.2,
607,26748.8,1252.8,-14.6,27346.0,7599.3,13395.9,28082.5,13667.0,6541.4,
608,26808.8,1111.2,-36.3,27363.7,7442.7,13403.2,27994.1,13648.3,6535.0,
609,26868.9,1004.3,-47.7,27413.2,7317.4,13386.9,27953.5,13641.9,6541.3,
610,26963.0,883.2,-47.6,27453.8,7206.7,13378.6,27898.0,13596.4,6533.3,
611,27098.4,744.9,-33.9,27483.7,7113.6,13380.2,27824.4,13503.8,6507.9,
612,27104.3,634.9,-22.0,27415.9,7012.5,13330.6,27692.3,13401.7,6472.2,
613,26816.9,588.8,-14.3,27127.0,6892.8,13165.4,27427.7,13278.1,6412.9,
614,26553.7,539.3,-6.3,26868.2,6780.0,13017.6,27181.0,13162.1,6360.0,
615,26412.4,473.4,2.7,26760.1,6701.7,12957.1,27023.5,13084.2,6339.4,
616,26274.4,408.1,11.5,26650.2,6622.6,12896.8,26868.3,13008.3,6318.4,
617,26233.4,358.1,14.1,26481.9,6520.0,12842.3,26781.1,12992.0,6283.0,
618,26192.5,308.2,16.7,26313.6,6417.4,12787.9,26693.8,12975.6,6247.6,
619,25967.9,260.9,-5.1,26110.6,6328.1,12692.3,26387.5,12773.3,6117.4,
620,25723.9,213.8,-29.5,25903.9,6240.2,12592.4,26058.0,12551.4,5977.2,
621,25610.6,167.8,-31.1,25733.0,6192.5,12524.9,25883.4,12458.9,5927.4,
622,25533.4,122.1,-26.5,25571.9,6156.1,12466.4,25751.7,12402.2,5902.6,
623,25420.7,113.4,-11.9,25437.0,6119.8,12413.3,25601.3,12344.1,5909.8,
624,25290.3,123.2,7.7,25315.1,6083.6,12362.9,25441.6,12285.3,5932.8,
