ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,
time,17:33:54,17:34:01,17:34:04,17:34:08,17:34:11,17:34:15,17:34:19,17:34:23,17:34:26,17:34:30,17:34:34,17:34:38,17:34:44,17:34:48,17:34:52,17:34:56,17:35:01,17:35:05,17:35:27,17:35:39,
449,128.4,10339.3,20972.6,31719.7,38810.3,144.2,164.3,194.6,223.7,264.9,143.0,142.5,200.8,190.1,240.4,158.3,8910.8,19884.8,28742.6,41018.1,
450,155.4,10874.6,22005.7,33352.9,40819.8,152.1,164.7,218.6,261.3,269.5,143.7,146.3,194.1,193.1,249.6,175.2,9379.4,20939.9,30210.9,43109.8,
451,170.4,11216.6,22690.6,34374.6,42061.3,155.9,179.3,234.6,276.3,286.9,145.9,158.0,194.6,204.8,253.8,182.2,9691.4,21587.7,31133.5,44476.4,
452,175.6,11399.9,23089.3,34893.7,42671.9,156.2,205.4,244.0,272.7,314.7,149.4,176.4,200.8,223.4,254.0,181.2,9875.0,21900.9,31607.8,45247.3,
453,179.9,11558.0,23434.4,35334.4,43188.7,156.3,229.6,252.5,269.4,341.1,151.7,193.4,206.4,240.6,253.6,179.6,10035.3,22167.4,32013.3,45915.6,
454,162.2,11082.6,22426.8,33797.8,41344.2,149.0,204.0,238.4,273.9,331.8,124.3,175.4,196.2,221.1,238.1,162.4,9610.8,21255.5,30683.2,43998.1,
455,144.6,10607.1,21419.3,32261.1,39499.7,141.7,178.4,224.2,278.5,322.5,96.9,157.5,185.9,201.6,222.7,145.1,9186.2,20343.5,29353.0,42080.7,
456,131.2,10027.9,20294.0,30587.5,37455.2,131.0,154.8,213.3,267.8,315.3,94.2,140.4,165.7,181.7,209.5,129.4,8708.4,19290.0,27871.0,39973.9,
457,121.4,9357.5,19065.2,28793.4,35234.7,117.2,133.0,205.2,243.8,310.1,113.2,124.0,136.9,161.4,198.4,114.9,8183.8,18111.8,26255.2,37700.6,
458,112.3,8687.1,17830.0,26989.9,33003.2,104.1,112.7,197.8,221.2,305.0,131.6,108.4,109.2,142.2,187.3,101.2,7656.5,16929.6,24630.0,35413.4,
459,121.0,8014.4,16393.0,24885.2,30422.6,115.0,143.5,213.8,241.8,305.3,131.9,117.5,119.0,159.7,179.3,108.7,7047.2,15620.3,22703.0,32682.7,
460,129.7,7341.7,14956.1,22780.5,27841.9,125.9,174.4,229.7,262.4,305.6,132.2,126.7,128.7,177.2,171.4,116.1,6438.0,14311.0,20775.9,29952.0,
461,121.8,6747.7,13702.9,20906.7,25572.8,121.7,186.9,234.1,282.2,323.8,120.3,123.5,141.8,174.0,169.8,120.1,5910.1,13167.3,19097.0,27534.8,
462,99.3,6222.5,12610.5,19235.0,23576.3,104.2,183.4,228.3,301.3,357.7,97.7,109.4,157.7,152.7,173.8,121.1,5453.5,12168.5,17635.4,25392.1,
463,78.2,5702.6,11528.8,17579.0,21595.9,86.8,180.3,224.3,321.0,391.7,76.7,95.7,172.0,132.1,177.4,121.7,5001.6,11177.4,16184.2,23269.4,
464,88.5,5306.7,10698.7,16293.5,19993.1,73.5,188.4,262.5,353.8,426.7,91.4,90.7,148.5,127.2,170.4,114.8,4662.3,10366.9,14980.0,21616.6,
465,98.8,4910.9,9868.6,15008.0,18390.2,60.1,196.6,300.7,386.6,461.8,106.1,85.7,125.0,122.3,163.4,108.0,4323.0,9556.4,13775.9,19963.9,
466,99.6,4534.4,9099.6,13827.9,16954.9,57.9,207.1,329.1,429.9,527.1,113.5,85.8,113.3,117.5,152.9,101.8,4003.5,8826.7,12731.5,18488.7,
467,92.6,4173.5,8379.9,12733.1,15654.9,64.7,219.5,349.6,481.8,616.9,115.1,90.0,111.2,112.8,139.5,96.0,3700.1,8162.3,11816.4,17157.0,
468,86.1,3819.1,7669.8,11653.3,14369.1,71.5,232.9,372.3,535.4,706.7,116.3,95.0,107.7,109.3,126.9,91.0,3402.9,7511.9,10915.4,15848.3,
